Maker_ID,Maker_Nm,Maker_Nm_Kn,Maker_Nm_Rk,Shitaji_Flg,Board_Flg,Cloth_Flg,Yuka_Flg,Sort_No,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
10001,桐井製作所,ｷﾘｲｾｲｻｸｼﾞｮ,桐井製作所,1,0,0,0,1,1,0,0,,
10002,八潮建材工業,ﾔｼｵｹﾝｻﾞｲｺｳｷﾞｮｳ,八潮建材工業,1,0,0,0,6,1,0,0,,
10003,関包スチール,ｶﾝﾎﾟｳｽﾁｰﾙ,関包スチール,1,0,0,0,2,1,0,0,,
10004,三洋工業,ｻﾝﾖｳｺｳｷﾞｮｳ,三洋工業,1,0,0,0,3,1,0,0,,
10005,トーケン工業,ﾄｰｹﾝｺｳｷﾞｮｳ,トーケン工業,1,0,0,0,4,1,0,0,,
10006,佐藤型鋼製作所,ｻﾄｳｶﾀｺｳｾｲｻｸｼﾞｮ,佐藤型鋼製作所,1,0,0,0,5,1,0,0,,
20001,吉野石膏,ﾖｼﾉｾｯｺｳ,吉野石膏,0,1,0,0,7,1,0,0,,
20002,チヨダウーテ,ﾁﾖﾀﾞｳｰﾃ,チヨダウーテ,1,1,0,0,8,1,0,0,,
20003,大建工業,ﾀﾞｲｹﾝｺｳｷﾞｮｳ,大建工業,0,1,0,0,9,1,0,0,,
20004,アイカ工業,ｱｲｶｺｳｷﾞｮｳ,アイカ工業,0,1,0,0,10,1,0,0,,
20005,エーアンドエーマテリアル,ｴｰｱﾝﾄﾞｴｰﾏﾃﾘｱﾙ,エーアンドエーマテリアル,0,1,0,0,11,1,0,0,,
20006,ニチアス,ﾆﾁｱｽ,ニチアス,0,1,0,0,12,1,0,0,,
20007,マグ・イゾベール,ﾏｸﾞｲｿﾞﾍﾞｰﾙ,マグイゾベール,0,1,0,0,13,1,0,0,,
20008,旭ファイバーグラス,ｱｻﾋﾌｧｲﾊﾞｰｸﾞﾗｽ,旭ファイバーグラス,0,1,0,0,14,1,0,0,,
20009,パラマウント硝子工業,ﾊﾟﾗﾏｳﾝﾄｶﾞﾗｽｺｳｷﾞｮｳ,パラマウント硝子工業,0,1,0,0,15,1,0,0,,
20010,JFEロックファイバー,ｼﾞｪｲｴﾌｲｰﾛｯｸﾌｧｲﾊﾞｰ,JFEロックファイバー,0,1,0,0,16,1,0,0,,
20011,サトウ巧材,ｻﾄｳｺｳｻﾞｲ,サトウ巧材,0,1,0,0,17,1,0,0,,
20012,創建,ｿｳｹﾝ,創建,0,1,0,0,18,1,0,0,,
20013,フクビ化学工業,ﾌｸﾋﾞｶｶﾞｸｺｳｷﾞｮｳ,フクビ化学工業,0,1,0,0,19,1,0,0,,
20014,アサヒ金属,ｱｻﾋｷﾝｿﾞｸ,アサヒ金属,0,1,0,0,20,1,0,0,,
20015,森村金属,ﾓﾘﾑﾗｷﾝｿﾞｸ,森村金属,0,1,0,0,21,1,0,0,,
20016,理研軽金属工業,ﾘｹﾝｹｲｷﾝｿﾞｸｺｳｷﾞｮｳ,理研軽金属工業,0,1,0,0,22,1,0,0,,
40001,東リ,ﾄｳﾘ,東リ,0,0,0,1,23,1,0,0,,
40002,田島ルーフィング,ﾀｼﾞﾏﾙｰﾌｨﾝｸﾞ,田島ルーフィング,0,0,0,1,24,1,0,0,,
40003,サンゲツ,ｻﾝｹﾞﾂ,サンゲツ,0,0,1,1,25,1,0,0,,
40101,関西フェルトファブリック,ｶﾝｻｲﾌｪﾙﾄﾌｧﾌﾞﾘｯｸ,関西フェルトファブリック,0,0,0,1,26,1,0,0,,
40102,ダイウレ,ﾀﾞｲｳﾚ,ダイウレ,0,0,0,1,27,1,0,0,,
