Tani_ID,Tani_Nm,Sort_No,Default_Flg,Disable_Flg,Delete_Flg,UPDATE_DATE,UPDATE_STAFF
1,㎡,1,1,0,0,,
2,M,2,1,0,0,,
3,ｹ所,3,1,0,0,,
4,処,4,1,0,0,,
5,個,5,1,0,0,,
6,式,6,1,0,0,,
7,枚,7,1,0,0,,
8,帖,8,1,0,0,,
9,坪,9,1,0,0,,
10,本,10,1,0,0,,
11,巻,11,1,0,0,,
12,箱,12,1,0,0,,
13,回,13,1,0,0,,
14,袋,14,1,0,0,,
15,台,15,1,0,0,,
16,ｾｯﾄ,16,1,0,0,,
17,ｹｰｽ,17,1,0,0,,
18,ﾎﾞﾄﾙ,18,1,0,0,,
19,缶,19,1,0,0,,
20,小缶,20,1,0,0,,
21,中缶,21,1,0,0,,
22,大缶,22,1,0,0,,
23,小缶ｾｯﾄ,23,1,0,0,,
24,人,24,1,0,0,,
25,日,25,1,0,0,,
26,時間,26,1,0,0,,
27,戸,27,1,0,0,,
28,室,28,1,0,0,,
29,ﾌﾛｱ,29,1,0,0,,
30,kg,30,1,0,0,,
31,組,31,1,0,0,,
